GroundObjectId,Id,CollisionUnitType,CollisionUnitParam,EffectType,EffectParam,EffectGrowth1,EffectGrowth2
11222,112221,6,,16,"1922,103744,17000,26900",1.6,1
11222,112222,6,,8,11222,,
11242,112421,6,,16,"532,30940,4000,6900",1.6,1
11242,112422,6,,16,"424,25705,3000,5900",1.6,1
11242,112423,6,,8,11242,,
11251,112511,6,,17,"741,40041,5400,9500",1.6,1
11261,112611,6,,17,"2967,192200,15400,25300",1.6,1
11261,112612,6,,8,11261,,
12212,122121,6,,16,"637,38411,3600,8500",1.6,1
12212,122122,6,,16,"637,38411,3600,8500",1.6,1
12212,122123,6,,8,12212,,
12251,122511,6,,17,"0,0,0,0",1,1
12261,122611,6,,17,"494,26694,4400,14300",1.6,1
13252,132521,6,,17,"604,32626,4400,12300",1.6,1
13252,132522,6,,8,13252,,
14262,142621,6,,17,"500,21571,3000,12900",1.6,1
14262,142622,6,,8,14262,,
14262,142623,6,,17,"400,17976,2000,11900",1.6,1
30005,300051,6,,17,"0,0,30000,60000",1,1
30007,300071,6,,16,"0,0,40000,400000",1,1
30012,300121,6,,16,"0,0,15000,42500",1,1
30012,300122,6,,17,"0,0,15000,42500",1,1
30012,300123,6,,8,30004,,
30012,300124,6,,8,1001,,
60096,600961,6,,17,"0,0,9200,9200",1,1
60097,600971,6,,17,"0,0,36800,36800",1,1
60100,601001,6,,16,"0,0,7600,7600",1,1
60115,601151,6,,17,"0,0,7300,7300",1,1
60162,601621,6,,17,"0,0,7300,7300",1,1
60162,601622,6,,8,601622,1,1
71032,710321,6,,16,"0,0,7600,7600",1,1
71072,710721,6,,17,"0,0,9200,9200",1,1
71073,710731,6,,17,"0,0,36800,36800",1,1
71073,710732,6,,8,1001,,
71472,714721,6,,17,"0,0,15000,15000",1,1
73012,730121,6,,17,"0,0,15000,15000",,
73012,730122,6,,16,"0,0,35000,35000",1,1
73012,730123,6,,16,"0,0,15000,15000",1,1
73012,730124,6,,8,122614,,
73032,730321,6,,16,"0,0,12000,12000",1,1
73032,730322,6,,16,"0,0,9000,9000",1,1
74031,740311,6,,17,"0,0,33000,33000",1,1
74032,740321,6,,8,74032,,
74051,740511,6,,8,74051,,
74062,740621,6,,16,"0,0,45000,45000",1,1
74062,740622,6,,8,74062,,
74071,740711,6,,17,"0,0,35000,35000",1,1
74132,741321,6,,16,"0,0,12000,13000",1,1
1504021,15040211,6,,17,"0,0,10000,10000",,
720231,7202311,6,,16,"0,0,40000,40000",,
720231,7202312,6,,8,720232,,
720231,7202313,6,,8,720233,,
720231,7202314,6,,8,720234,,
1720231,17202311,6,,16,"0,0,40000,40000",,
1720231,17202312,6,,8,1720232,,
1720231,17202313,6,,8,1720233,,
1720231,17202314,6,,8,1720234,,
7204311,7204311,6,,84,,,
7204321,7204321,6,,84,,,
7204331,7204331,6,,84,,,
601252,6012521,6,,17,"0,0,6000,6000",,
601451,6014511,6,,17,"0,0,7500,7500",,
741352,7413521,6,,16,"0,0,8500,8500",,
741352,7413522,6,,8,741352,,
8010441,8010441,6,,19,5000,,
805000,8050001,6,,16,"0,0,10000,10000",1,1
805000,8050002,6,,17,"0,0,10000,10000",1,1
805001,8050011,6,,16,"0,0,10000,10000",1,1
805001,8050012,6,,17,"0,0,10000,10000",1,1
805002,8050021,6,,16,"0,0,10000,10000",1,1
805002,8050022,6,,17,"0,0,10000,10000",1,1
805003,8050031,6,,16,"0,0,10000,10000",1,1
805003,8050032,6,,17,"0,0,10000,10000",1,1
72040,72040,6,,16,"0,0,10000,10000",,
1720223,17202231,6,,17,"0,0,10000,10000",,
1720223,17202232,6,,8,1720222,,
17203181,17203181,6,,16,"0,0,10000,10000",,
411004,4110041,6,,17,"0,0,5000,5000",,
412004,4120041,6,,17,"0,0,5000,5000",,
413004,4130041,6,,17,"0,0,5000,5000",,
413012,4130121,6,,19,7000,,
413023,4130232,6,,17,"0,0,25000,25000",,
413023,4130233,6,,8,413018,,
414004,4140041,6,,17,"0,0,5000,5000",,
414012,4140121,6,,19,15000,,
414023,4140232,6,,17,"0,0,25000,25000",,
414023,4140233,6,,8,414018,,
30015,30015,6,,8,300151,,
401023,4010231,6,,17,"0,0,9000,9000",,
401008,4010081,6,,20,"4000,4000,1",,
401008,4010082,6,,8,1001,,
401016,4010161,6,,20,"7000,7000,1",,
4011021,40110211,6,,17,"0,0,9000,9000",,
2000001,2000001,6,,84,,,
2000002,2000002,6,,84,,,
2000003,2000003,6,,84,,,
2000004,2000004,6,,84,,,
2000005,2000005,6,,84,,,
2000006,2000006,6,,84,,,
730212,7302121,6,,16,"0,0,20000,20000",,
731351,7313511,6,,16,"0,0,50000,50000",,
731401,7314011,6,,16,"0,0,10000,10000",,
